time,lat,lon,alt,tas,ias,gs,mach,heading,pitch,roll,gamma,alpha,v_vertical,throttle,lift,drag,thrust,mass,fuel,load_factor,flaps,gear,spoilers,flight_phase,dist_to_dest
0.000000,40.080400,116.584864,10.000000,7.430735,0.000000,7.430735,0.000000,44.250163,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,9.790424,489326.236689,329251.711407,126877.711407,1.000000,0,True,False,TAXI,10037104.806526
5.000000,40.080448,116.584924,0.000000,55.822340,7.427169,1.475236,0.021839,44.250163,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5781.671642,954.553988,1625744.308089,329183.972061,126809.972061,0.001790,1,True,False,TAKEOFF_ROLL,10037097.432687
10.000000,40.082613,116.587681,0.000000,102.389116,55.822340,67.227089,0.164042,44.250163,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,326605.086877,53922.499843,1591842.437119,329117.645292,126743.645292,0.101159,1,True,False,TAKEOFF_ROLL,10036761.401369
15.000000,40.086343,116.592430,115.852520,118.084460,102.389116,115.788892,0.300886,44.250163,11.500000,0.000000,0.197501,11.500000,23.170504,1.000000,4762829.204763,525424.000753,1558343.157080,329052.714328,126678.714328,1.475470,1,True,False,ROTATION,10036182.632485
20.000000,40.090536,116.596474,211.466282,117.454662,117.428732,115.887523,0.347463,36.418959,15.000000,-20.000000,0.163538,3.684013,19.122752,0.599395,3088654.196369,329351.014467,921233.347219,329014.329605,126640.329605,0.899231,1,True,False,INITIAL_CLIMB,10035606.790900
25.000000,40.094663,116.600454,354.995639,117.604019,116.265590,114.046824,0.345984,36.418959,15.000000,0.000000,0.246580,5.629984,28.705871,0.605693,3826758.379260,390892.078197,926146.810656,328975.740154,126601.740154,1.185764,1,True,False,INITIAL_CLIMB,10035040.098661
30.000000,40.098682,116.604749,397.384845,115.765987,115.609003,115.455142,0.346989,39.260441,15.000000,11.789749,0.073298,0.871985,8.477841,0.604200,1848561.163138,249557.573388,916283.982854,328937.561655,126563.561655,0.560779,1,True,False,INITIAL_CLIMB,10034463.927555
35.000000,40.102384,116.609410,559.616996,118.820620,113.568844,114.304720,0.341731,43.924734,12.899734,7.540572,0.276584,8.700057,32.446430,0.622580,4848633.463643,505470.153476,942687.214329,328898.283021,126524.283021,1.489761,1,True,False,INITIAL_CLIMB,10033892.502839
40.000000,40.106469,116.614551,473.658290,127.254468,115.651435,126.087841,0.351397,43.902050,15.000000,0.549276,-0.135512,-0.847074,-17.191741,1.000000,-345633.362231,62481.315862,1498044.918694,328835.864483,126461.864483,-0.107139,0,False,False,DEPARTURE,10033262.166456
45.000000,40.111185,116.620564,610.042447,149.003449,124.378522,146.485502,0.375970,44.282445,5.505846,0.589026,0.184100,13.270095,27.276832,1.000000,6327483.648125,505119.465250,1499491.655779,328773.385664,126399.385664,1.961744,0,False,False,DEPARTURE,10032529.963243
