time,lat,lon,alt,tas,ias,gs,mach,heading,pitch,roll,gamma,alpha,v_vertical,throttle,lift,drag,thrust,mass,fuel,load_factor,flaps,gear,spoilers,flight_phase,dist_to_dest
0.000000,40.079898,116.603102,10.000000,0.511443,0.000000,0.511443,0.000000,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,3.038328,71959.740689,70346.700168,16946.700168,1.000000,0,True,False,TAXI,1098838.934845
0.500000,40.079894,116.603105,10.000000,1.022774,0.511198,1.022774,0.001503,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,3.038328,71943.516042,70346.400403,16946.400403,1.000000,0,True,False,TAXI,1098838.428347
1.000000,40.079889,116.603110,10.000000,1.533990,1.022283,1.533990,0.003006,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,3.178290,71927.294985,70346.100706,16946.100706,1.000000,0,True,False,TAXI,1098837.668684
1.500000,40.079881,116.603117,10.000000,2.045064,1.533253,2.045064,0.004508,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,7.149562,71911.077547,70345.801077,16945.801077,1.000000,0,True,False,TAXI,1098836.655927
2.000000,40.079872,116.603126,10.000000,2.555987,2.044083,2.555987,0.006010,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,12.707162,71894.864592,70345.501515,16945.501515,1.000000,0,True,False,TAXI,1098835.390151
2.500000,40.079860,116.603136,10.000000,3.066745,2.554760,3.066745,0.007512,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,19.849599,71878.656477,70345.202020,16945.202020,1.000000,0,True,False,TAXI,1098833.871437
3.000000,40.079847,116.603148,10.000000,3.577328,3.065273,3.577328,0.009013,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,28.575243,71862.453558,70344.902593,16944.902593,1.000000,0,True,False,TAXI,1098832.099872
3.500000,40.079832,116.603162,10.000000,4.087726,3.575611,4.087726,0.010514,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,38.882324,71846.256191,70344.603234,16944.603234,1.000000,0,True,False,TAXI,1098830.075549
4.000000,40.079815,116.603177,10.000000,4.597925,4.085764,4.597925,0.012014,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,50.768936,71830.064732,70344.303942,16944.303942,1.000000,0,True,False,TAXI,1098827.798564
4.500000,40.079796,116.603194,10.000000,5.107917,4.595718,5.107917,0.013513,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,64.233032,71813.879534,70344.004717,16944.004717,1.000000,0,True,False,TAXI,1098825.269022
5.000000,40.079771,116.603217,10.000000,6.808053,5.105465,6.808053,0.015012,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,782.937595,140.302417,239325.669847,70343.007527,16943.007527,1.000000,1,True,False,TAKEOFF_ROLL,1098821.897538
5.500000,40.079740,116.603246,10.000000,8.506160,6.804785,8.506160,0.020009,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1390.866244,249.243231,239145.890352,70342.011086,16942.011086,1.000000,1,True,False,TAKEOFF_ROLL,1098817.685118
6.000000,40.079702,116.603280,10.000000,10.202022,8.502078,10.202022,0.024999,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2171.234374,389.085200,238966.325324,70341.015393,16941.015393,1.000000,1,True,False,TAKEOFF_ROLL,1098812.632875
6.500000,40.079658,116.603320,10.000000,11.895420,10.197125,11.895420,0.029984,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3123.288281,559.693260,238786.997839,70340.020447,16940.020447,1.000000,1,True,False,TAKEOFF_ROLL,1098806.742028
7.000000,40.079608,116.603366,10.000000,13.586139,11.889711,13.586139,0.034960,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4246.187074,760.916724,238607.930851,70339.026247,16939.026247,1.000000,1,True,False,TAKEOFF_ROLL,1098800.013905
7.500000,40.079552,116.603417,10.000000,15.273964,13.579618,15.273964,0.039929,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5539.003639,992.589452,238429.147187,70338.032793,16938.032793,1.000000,1,True,False,TAKEOFF_ROLL,1098792.449940
8.000000,40.079489,116.603474,10.000000,16.958681,15.266633,16.958681,0.044890,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7000.725697,1254.530045,238250.669532,70337.040082,16937.040082,1.000000,1,True,False,TAKEOFF_ROLL,1098784.051672
8.500000,40.079420,116.603536,10.000000,18.640081,16.950542,18.640081,0.049841,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8630.256948,1546.542045,238072.520418,70336.048113,16936.048113,1.000000,1,True,False,TAKEOFF_ROLL,1098774.820744
9.000000,40.079347,116.603603,7.607254,20.317952,18.631134,19.746347,0.054783,145.171477,0.000000,0.000000,-0.237764,0.000000,-4.785492,1.000000,10426.418302,1868.414160,237894.722216,70335.056885,16935.056885,0.015111,1,True,False,TAKEOFF_ROLL,1098765.041975
9.500000,40.079270,116.603673,2.827968,23.112989,20.310533,21.043858,0.059712,145.171477,0.000000,0.000000,-0.426359,13.622882,-9.558572,1.000000,57395.109369,7087.010826,237749.173571,70334.066263,16934.066263,0.083184,1,True,False,TAKEOFF_ROLL,1098754.620656
10.000000,40.079187,116.603748,0.000000,28.397498,23.109852,22.323729,0.067923,145.171477,0.000000,0.000000,0.000000,24.428569,0.000000,1.000000,23461.012136,3225.460053,237517.197841,70333.076608,16933.076608,0.034003,1,True,False,TAKEOFF_ROLL,1098743.565524
10.500000,40.079078,116.603848,0.000000,31.638207,28.397498,29.679559,0.083450,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,24222.373508,4340.649333,236995.788762,70332.089126,16932.089126,0.035107,1,True,False,TAKEOFF_ROLL,1098728.867653
11.000000,40.078956,116.603958,0.000000,34.866644,31.638207,32.952247,0.092974,145.171477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,30066.320968,5387.884718,236652.949517,70331.103072,16931.103072,0.043578,1,True,False,TAKEOFF_ROLL,1098712.549093
